lon,lat,sd_temp,sd_ocean_heat,sd_glaciers,sd_greenland,sd_antarctic,sd_gmsl,sigma_whitenoise_co2,rho_temperature,rho_ocean_heat,rho_glaciers,rho_greenland,rho_antarctic,rho_gmsl,alpha0_CO2,CO2_0,N2O_0,temperature_0,ocean_heat_0,thermal_s0,greenland_v0,glaciers_v0,glaciers_s0,antarctic_s0,Q10,CO2_fertilization,CO2_diffusivity,heat_diffusivity,rf_scale_aerosol,climate_sensitivity,thermal_alpha,greenland_a,greenland_b,greenland_alpha,greenland_beta,glaciers_beta0,glaciers_n,anto_alpha,anto_beta,antarctic_gamma,antarctic_alpha,antarctic_mu,antarctic_nu,antarctic_precip0,antarctic_kappa,antarctic_flow0,antarctic_runoff_height0,antarctic_c,antarctic_bed_height0,antarctic_slope,antarctic_lambda,antarctic_temp_threshold,dvbm_s,movefactor_s,vslel_s,vslmult_s,wvel_s,wvpdl_s
-87.39,30.47,0.005895633792511451,0.0067361857870906665,0.006181502981467722,0.006124890969873895,0.007367395528059775,0.005780359838531457,0.006552637544656324,0.006428128486134663,0.006779898114475337,0.005917064792307538,0.010732893837211792,0.008167529036317584,0.0064728173632070925,0.005631504482186572,0.006445782855298299,0.005947057104949217,0.017972572316561113,0.014539082735947723,0.006551751942964461,0.006379479738128064,0.005921586545934624,0.006201079388790812,0.0062629499566570195,0.007169171756972586,0.006843603720104438,0.006522208000638426,0.009233645394099663,0.05232068252294908,0.053250573275031333,0.008080579009163993,0.00787650243724232,0.00866780429536895,0.007928553266002492,0.01254111547246066,0.009465400877587264,0.006892566842972502,0.007823488582831618,0.006251844214477107,0.006352336754646966,0.006023383368382684,0.01707424769459935,0.006127990545666691,0.006691880789229561,0.006874196090426508,0.006746047058570919,0.007275464644205501,0.006003617433026442,0.0057170093212271615,0.006213199253578314,0.12762279064848975,0.06581233855680034,0.08796579799582978,0.23014545077454707,0.006367662604019114,0.006368713491357351,0.006282474747332678,0.006477873420898323
-87.961,30.675,0.005802921555806221,0.006144146599289009,0.005979057777630733,0.006069805263504271,0.007043826682509765,0.005404279033038613,0.005814496731394198,0.006277632228915898,0.005987628175316122,0.005811329593376317,0.010012017098198702,0.006995020453866281,0.00616222459089888,0.0053896214139991135,0.005906216086820686,0.0053090524835004834,0.01527824127605278,0.011405208383543025,0.005815122040624336,0.005935891891553002,0.005803687140408043,0.0059840044576185475,0.005880358338854146,0.0065685759122613525,0.006357503813763989,0.005885845587124141,0.00832279194054947,0.04353953733846945,0.04126926732688085,0.007922413294828465,0.007078071503941156,0.007706537779117848,0.007956495403979686,0.010373169780487683,0.008648216618452963,0.00606329219874702,0.007087239436210378,0.0059839579848392456,0.005631748779154331,0.005733045001001275,0.017462524110186062,0.0058590800093079026,0.00661052707839595,0.00613516516311102,0.00614925727942885,0.006755457253411078,0.005751619704695441,0.005183165458098544,0.005705265953671501,0.11743078512012692,0.056983250134559536,0.011388937516352024,0.3761573786181557,0.006355885995970289,0.005561735147478844,0.006053429187380568,0.006117037273141396
-87.917,30.604,0.005688995195045013,0.0072561071167092156,0.005905706753754825,0.005585583211512418,0.006994750909015956,0.005846999659023017,0.007157528975097845,0.006580149092824004,0.0063608812230881405,0.006030898851788328,0.011026775979421232,0.008003630095581955,0.006220543260956408,0.005174174477953937,0.006357676250830507,0.005923596075192723,0.01572288286541402,0.012235737264729166,0.0064817441191569935,0.006886925498734092,0.006386629892315376,0.006601210970711263,0.006804619204074411,0.00734099894085843,0.006750907297467797,0.006474000252853293,0.008402355031063886,0.041644968838866384,0.04194910325985598,0.0067250169631568974,0.007328842265691421,0.0073963495755004416,0.008706929430073744,0.011220548070464242,0.009133335119193736,0.007027220434958041,0.00865618973283861,0.006831034992542091,0.005927373105624107,0.005343365713981065,0.016892851965627783,0.0065997007278516965,0.006602484602005034,0.006175405743402185,0.006294841497854758,0.006557970173683657,0.0061990061454410186,0.005885126979985353,0.0069508828672295705,0.13094452469593545,0.05627137786479035,0.009236900219335561,0.34518590143909755,0.00683420656993625,0.0060055629544461244,0.0068209110557831115,0.006450058529673587
-87.911,30.562,0.005913482560967213,0.0066192597134119525,0.005726147004348099,0.00624938025874992,0.0070416974590855694,0.0055435571541391105,0.006633681393629641,0.006227483505731428,0.005977793195464344,0.005401236662938066,0.010759610787112546,0.006917675965304471,0.006183094801607519,0.005462531593833875,0.00629962983191242,0.005662313954109794,0.015625409783479705,0.012004896047523647,0.005861215877470026,0.006027929275102848,0.005690545595231884,0.006190027329704434,0.005949535092605121,0.007056157777237582,0.006390974664441468,0.006063809628637154,0.008703756369480094,0.04584276983673383,0.04262841927477135,0.008065433836021466,0.0069124278279206475,0.007805064296991461,0.007632270030085962,0.0108671733857571,0.008619601577328311,0.006623178712467784,0.007211234682225648,0.006122119103423326,0.005637790747880003,0.005908656530965137,0.017613643760816512,0.006063395145647839,0.006097113404664624,0.006312371268440911,0.005784135754388421,0.006867547970601885,0.005914002837968047,0.005298311665288653,0.006110472067800604,0.12312343046534358,0.05837530869890396,0.015121896877789476,0.3542448900618236,0.0065533450057053645,0.006138915644513726,0.006241348856628818,0.0060808973878421204
-87.923,30.521,0.00828499928386538,0.010447989910718125,0.008610678120686735,0.009408999357671423,0.009656789815327532,0.010181631277248648,0.009109314939122665,0.009424355514449551,0.009902162669889497,0.009484499655209516,0.011177576264941784,0.01205414740468201,0.009731699010422073,0.008159426566065397,0.009570766025002687,0.009665313146522006,0.012631750332809598,0.011883432808137955,0.00949862861529757,0.009469269498205254,0.008740274961798468,0.009424018405333466,0.010798356105745794,0.009340859927992187,0.008899685681256262,0.00900165164184009,0.009265191951163139,0.021616497200644895,0.025697635586384097,0.01460781025304207,0.008582942501115786,0.008579827301753306,0.008576799230782807,0.009907479000547049,0.010807473248813773,0.009745810826028503,0.009842975207236482,0.00933810330504617,0.009046152603788929,0.008638521294502818,0.0192883703520002,0.008133985298248906,0.00987436763686948,0.009728990998100004,0.0093095227055537,0.00987905040652014,0.008337208538202395,0.008662817198008006,0.009924522089954166,0.1039085445458733,0.04808203800450786,0.0728328513108454,0.22548417751343097,0.009550694883163723,0.00947915820024242,0.009199487569033526,0.009512716298354398
-87.944,30.227,0.005781043738080683,0.006032695694918415,0.0063490796912966775,0.005803968823849324,0.007763473988160939,0.005985523524949087,0.0059379458742977185,0.006233468393759107,0.0055918409299013675,0.005907307688060788,0.010975985737296906,0.007091957979507834,0.006778801099334443,0.005527449929410879,0.006485188813852402,0.005558057572227675,0.01680316460062603,0.012583638913261553,0.00644604792400911,0.00662927741315209,0.0058882140378830345,0.006140702565616655,0.005900517620099038,0.006815540581071538,0.0066551904903188065,0.006250512890858502,0.008747183466621958,0.05073547248492377,0.04891266227183438,0.008495731479955679,0.00752800695785491,0.00817626768425884,0.008309971568215812,0.011532174678810181,0.008794258849564496,0.0065488799654694965,0.006822141584302298,0.005882909778217388,0.006097051683812868,0.00645059899741605,0.018555374009148962,0.006626028103131206,0.006673326896147243,0.006655808008650373,0.007103769525802923,0.0069339518700680365,0.006031312656931239,0.005092889839334877,0.006197921555159614,0.12228247377496874,0.06190408408287331,0.02184003882890185,0.32143972311744,0.007185338760287738,0.005963355790689605,0.006312529413379266,0.006252165800026285
-88.156,30.324,0.010066327097818836,0.009126570673687887,0.009925915895026671,0.011078183062704488,0.010587252007515853,0.010912549727698177,0.009805151506622315,0.01014482457744861,0.009645219347432208,0.009296963142823243,0.01265009918566977,0.010285712155824097,0.009501639125596355,0.01044723313604851,0.010491681170393488,0.009420814140749547,0.015288880658219064,0.014331399081697454,0.01053909467076385,0.01024971443902931,0.009691510041956408,0.008932676629357681,0.00921056875226691,0.009920483704170046,0.009952736961241052,0.010863173284233262,0.010805628758740035,0.03638210074253776,0.03618070782848731,0.012387774862810385,0.010375796683299784,0.011128917277786286,0.009722634477775929,0.012086381800424286,0.011660267622456442,0.010124390001448618,0.01122027150546257,0.010045951325789212,0.010031499029946564,0.010222820683590341,0.016328004959666742,0.010005334466239014,0.009100582332791641,0.01012901117628569,0.009830294527916813,0.010940952253345156,0.009895398805463326,0.009779175205630257,0.009952539535330285,0.1218956421400255,0.05250033492089175,0.07332597971594752,0.13755786102845932,0.012214223258916143,0.011163304852470055,0.010585142944386266,0.010054701099683951
-88.063,30.615,0.00585401490695514,0.006042935556327607,0.00600382083032277,0.00641933071718825,0.007036081515315647,0.005910293055233418,0.005555396082989577,0.006401399593059475,0.005983635292081419,0.0063431809719573925,0.01142655287590951,0.007175092766062109,0.007033348801644536,0.005548101704814102,0.00628254453903956,0.005472428676268702,0.016927143319936604,0.012696751874613348,0.006492495385349922,0.006336874254333364,0.006233788585597013,0.006338953341056933,0.00587660081439817,0.006936089770431917,0.006166899871469881,0.0063553252441097535,0.00854663570467215,0.04712215892646722,0.05032055244745053,0.008248150131161492,0.007326105200655812,0.008380420820313423,0.00813534818634575,0.010738119036177508,0.009466239949398235,0.0060555485279319,0.006607697007294444,0.006200599449656299,0.006117765613441966,0.006063184463634859,0.01427334635999865,0.00634144021241441,0.006923938858506561,0.0066390030530091735,0.006879803308991321,0.006807813909086751,0.005868189376091563,0.005486905227745676,0.00598737582027258,0.100337338346221,0.0610542919960325,0.10226985226685141,0.27197375269678403,0.006213749513344149,0.006273675671414709,0.006674663348621154,0.00581725422354669
-88.031,30.679,0.005958878940617512,0.006128985877133851,0.0061624552277519265,0.006931395228500264,0.006637283960314981,0.005957905585761196,0.005701880993981241,0.006246025989945822,0.005827253955174623,0.006040472165674109,0.010295115814399718,0.006972856992261266,0.007549495876932592,0.006013574265942895,0.006239008324949157,0.005999382320752861,0.015327531411098902,0.011841606300570195,0.006291075323643499,0.006196574193245538,0.005882012728514452,0.006165535910201368,0.006431969460810409,0.006631280675790212,0.006170896043264673,0.0061530893023530675,0.008399331545649686,0.04351615228578604,0.047625512447374174,0.007627397167238593,0.007246261608175791,0.007662838341098689,0.008066044951640906,0.010395553785966872,0.009325821390595604,0.0062733368346643975,0.006528234962483195,0.006364632907403292,0.006061118903935701,0.0061581810820218125,0.011202433824071127,0.006155780032377028,0.006443598955150628,0.0064228127157757026,0.006736391422738684,0.006519829421212929,0.00609901064082682,0.00559733396285201,0.0059398012613183756,0.06964639453664935,0.05919485147312323,0.1899826551016992,0.23174206692772592,0.006177459158859735,0.006172407954414647,0.0063981458165389025,0.006565065711044518
-88.443,30.329,0.006339096486469718,0.008675612260084745,0.006736432376427669,0.006884741814516213,0.007980824327506606,0.007607541058045492,0.008014537701529826,0.008018077102216753,0.008295682925364636,0.009645146050935608,0.008935003944081287,0.008210258465843893,0.012889444772700973,0.006285017205255487,0.0065107261340127485,0.009038764132448194,0.014173588125395976,0.008832033698852526,0.006929968246749677,0.009855371366314978,0.007994552592928849,0.009698177977084756,0.00880281160662947,0.006857543351336638,0.007531326343459097,0.007683230578762617,0.007055003398591355,0.030627470447274527,0.03507794571581429,0.010321193156476885,0.00966725355449034,0.0092023693787442,0.008439026724460006,0.010472406278432812,0.009220185038837298,0.00877416879897732,0.006890511788586158,0.007158126842134726,0.006316144231674127,0.005906567035396985,0.012884925547956373,0.008554210084245123,0.007561740887544698,0.009310248799097401,0.01252121096828806,0.007714902562456508,0.010227771725957227,0.006241760608471609,0.006821473048038509,0.07322859472695724,0.042026535785672,0.36055460775977394,0.029435433163682585,0.005966426034392586,0.007849689330557704,0.007774642008966307,0.007771943923096689
